ID,pace,shooting,passing,dribbling,defending,physic
201942,77,83,80,86,61,78
208722,94,80,76,87,42,73
210257,,,,,,
222492,95,81,78,86,38,70
9014,79,85,81,88,32,62
41236,59,86,77,78,34,78
120533,68,51,57,61,85,81
139720,56,54,65,65,85,81
156616,78,76,82,88,30,57
164169,75,62,78,78,81,79
167397,67,84,69,78,43,74
168609,68,49,60,68,88,76
170890,78,68,77,79,83,83
178518,75,79,78,82,83,83
179844,75,83,64,76,49,87
179846,57,76,80,78,81,83
180930,66,85,71,75,46,73
181872,57,80,79,77,84,83
184087,62,57,72,65,88,78
184267,80,75,78,90,41,59
187961,73,81,77,81,79,84
188350,85,86,82,86,44,64
192629,81,86,77,86,35,65
192774,83,18,42,61,86,82
193747,69,75,88,82,69,78
197445,82,73,80,80,81,75
202652,93,73,76,88,47,56
203376,71,60,67,70,85,84
204485,85,79,81,90,37,59
208421,70,77,79,82,78,76
209499,71,69,78,77,84,84
212622,73,68,83,82,77,73
212831,,,,,,
216594,79,82,81,89,33,79
220834,81,84,83,85,43,60
223848,69,79,80,83,77,84
232363,72,41,57,61,87,82
20775,83,74,82,88,24,62
137186,68,34,57,64,89,72
143076,90,76,81,89,39,57
157481,53,41,61,63,86,75
162240,72,70,77,87,78,82
162895,55,74,88,80,60,58
163587,,,,,,
165153,76,79,76,81,32,75
167628,,,,,,
172879,69,51,50,60,84,82
176769,64,86,77,84,38,65
177388,73,77,85,86,38,68
177610,51,55,70,64,86,83
178750,,,,,,
180403,88,77,80,86,49,62
181783,70,78,71,75,66,85
183898,85,76,82,85,47,66
185020,88,78,75,83,47,65
186153,,,,,,
186942,68,74,83,84,69,70
188377,90,63,75,77,81,80
190584,61,71,80,79,70,72
190941,,,,,,
192563,,,,,,
192883,82,78,79,85,52,69
193082,91,74,77,88,66,69
193301,81,82,72,84,40,72
194404,,,,,,
198009,,,,,,
198176,68,41,60,66,86,76
198329,90,81,73,82,44,71
199482,,,,,,
199564,78,63,81,78,80,71
200104,86,85,76,85,42,68
204963,82,45,73,79,82,78
204970,83,80,81,84,42,69
205498,72,64,84,82,69,71
207566,51,55,79,75,82,84
207865,75,38,69,67,85,76
211117,75,81,78,82,65,78
212190,67,41,52,49,83,82
212462,85,71,83,81,80,77
216460,68,45,51,52,86,82
218667,78,72,83,89,46,58
220793,76,45,55,66,84,82
24630,,,,,,
53302,65,63,73,69,85,80
106231,67,82,64,75,50,81
163705,,,,,,
168354,,,,,,
176266,67,66,76,78,82,75
178005,,,,,,
178086,,,,,,
178088,65,76,84,85,37,50
178562,66,70,86,83,69,68
179783,,,,,,
179944,61,65,73,70,82,77
185221,64,60,71,70,82,83
186627,79,84,73,79,24,77
189068,52,83,57,65,45,83
189358,68,69,78,87,54,49
189712,66,72,81,77,79,80
190547,51,32,44,53,83,84
192593,,,,,,
193698,,,,,,
195093,64,83,66,77,40,80
197965,77,76,82,81,64,69
200316,,,,,,
200724,74,37,66,64,81,79
200888,66,64,70,74,82,86
201153,82,79,71,80,31,71
202166,77,80,82,87,55,64
202556,88,81,78,84,33,79
204639,58,35,54,57,84,74
204935,,,,,,
206545,70,74,81,81,70,69
206585,,,,,,
207410,79,69,82,86,69,72
207863,64,41,58,59,83,85
208093,79,81,66,78,45,69
208418,88,79,75,87,41,64
208618,81,75,82,82,46,67
208808,90,83,78,83,32,67
209658,83,74,80,81,77,76
210008,74,74,79,80,77,79
210617,86,75,81,84,43,52
211300,89,81,73,86,42,72
212188,93,79,67,83,35,67
212198,78,80,84,83,62,72
212218,65,50,67,61,85,76
213331,71,27,58,58,83,81
213345,94,76,75,86,25,60
213565,85,76,83,85,59,67
219683,70,77,79,78,76,81
220971,68,73,78,88,64,68
222737,84,79,81,85,27,64
225850,77,39,67,67,82,83
230294,81,84,62,72,33,75
230375,80,43,56,64,85,77
230481,87,77,83,84,35,72
230666,86,80,72,87,39,73
5479,,,,,,
45186,73,77,83,83,41,61
48940,,,,,,
104389,,,,,,
113422,69,83,74,82,34,68
146530,78,71,81,84,77,66
158963,65,63,81,81,77,71
163489,,,,,,
165229,65,41,62,64,82,75
167905,85,67,76,80,79,79
168435,,,,,,
168530,57,42,54,53,83,82
170481,35,63,66,64,82,79
171897,73,67,81,82,72,68
172522,75,76,82,79,72,73
173521,68,46,60,60,83,79
177413,71,74,77,79,75,82
177457,68,64,73,72,85,79
177683,,,,,,
178509,47,82,71,73,42,79
179847,40,41,54,54,85,83
181291,76,72,77,83,71,73
181786,58,51,67,66,81,83
183280,60,53,54,60,81,87
183376,54,57,66,68,82,83
183498,69,76,76,76,79,80
183574,69,83,82,82,46,70
183711,66,70,83,75,77,78
184144,81,72,80,84,41,56
184200,79,79,77,81,47,81
184431,84,80,79,87,27,57
184484,59,80,84,79,56,70
185103,71,70,81,76,81,81
185239,78,37,63,67,83,74
186345,75,58,82,76,79,72
186561,67,76,79,80,67,74
187754,83,76,78,87,48,66
187936,50,67,72,70,81,89
188152,73,76,80,81,55,50
188803,92,79,75,86,47,65
189125,76,77,82,83,72,71
189505,76,77,77,84,43,56
191180,69,75,83,84,56,63
191740,71,72,79,80,78,76
192227,62,57,64,61,81,77
192318,69,73,83,86,59,67
192638,73,73,78,78,80,79
192984,,,,,,
193469,57,42,64,60,82,82
193474,72,59,70,77,84,79
195365,79,66,79,86,63,62
197655,56,43,52,59,83,86
198141,73,58,71,74,81,73
198164,81,75,81,84,61,69
198706,73,77,85,85,33,60
198717,91,74,73,88,29,72
198951,88,81,72,80,35,75
199845,59,50,58,57,85,80
199914,75,66,76,82,82,80
200949,92,74,75,86,42,59
201305,73,49,68,65,83,80
201400,70,76,79,85,69,62
201455,73,73,76,79,83,88
201995,92,75,78,88,56,60
202371,78,76,77,75,78,84
202651,80,75,82,87,33,54
202685,79,81,62,77,50,86
203263,47,46,63,69,81,82
203551,84,77,78,81,76,76
203574,69,36,69,71,83,78
205678,89,79,75,83,47,63
206113,91,81,72,86,44,67
207471,60,77,80,82,47,73
207494,81,78,76,83,56,68
207664,74,79,65,79,33,71
208448,73,71,81,83,33,65
208596,79,81,57,77,41,84
208670,75,73,86,82,57,67
208830,90,81,63,77,54,77
209297,79,74,77,82,75,71
209989,75,67,74,77,80,82
210413,66,34,52,65,84,79
211320,62,39,53,64,85,75
212194,81,77,78,85,30,64
212404,83,75,80,86,56,64
212523,76,82,80,81,59,71
213661,69,31,63,70,84,72
216194,43,58,74,71,75,80
216354,75,84,71,86,30,71
216451,76,71,82,81,73,73
220440,73,35,59,66,83,78
220814,82,47,68,71,80,78
221087,,,,,,
224411,88,79,76,83,36,68
225508,74,42,59,65,82,82
227055,94,69,75,86,47,61
229906,93,77,75,85,33,64
230168,,,,,,
230225,71,61,57,62,82,80
230258,81,57,74,77,82,74
230621,,,,,,
230658,69,73,79,82,70,69
231443,89,75,76,88,36,55
231866,68,69,75,78,76,75
236583,,,,,,
112316,71,64,72,62,84,82
138412,62,70,82,76,75,78
144622,70,77,80,86,44,63
150418,67,80,62,72,36,77
156519,72,73,73,75,78,80
157960,79,76,79,84,66,72
159145,70,82,65,75,36,73
161956,53,69,84,84,66,64
162347,62,76,81,80,70,70
164468,47,58,53,59,83,76
166706,59,38,50,52,81,83
169195,67,73,79,79,71,72
169416,79,79,77,82,32,65
171579,53,80,79,79,72,80
173208,77,61,78,72,80,79
173221,78,79,78,81,61,71
173771,80,68,74,73,81,79
173909,66,79,78,80,70,76
175379,63,78,85,82,45,61
176600,85,81,75,77,43,68
177326,80,75,80,83,34,50
177458,69,51,61,60,83,79
179784,52,47,62,62,82,74
180334,58,49,61,58,81,88
180819,69,73,80,82,64,71
182212,77,80,63,72,35,81
182494,,,,,,
183900,81,70,78,87,42,62
184120,36,71,79,72,79,71
187072,70,81,79,79,59,72
187491,87,83,70,76,32,73
188988,81,72,78,86,32,52
189117,,,,,,
189251,67,68,80,80,75,67
189362,80,86,76,79,48,88
189560,37,71,75,70,79,80
189690,,,,,,
189881,68,47,55,58,81,82
190813,87,76,71,84,42,58
190972,88,77,75,84,57,71
191687,62,55,66,54,82,84
193105,,,,,,
193165,83,72,74,88,46,51
193348,80,77,80,85,46,70
193525,82,62,73,76,81,79
193532,71,47,68,69,81,84
195086,55,40,59,62,81,79
196889,87,73,81,85,48,55
197061,63,46,68,65,82,77
197853,78,62,74,77,78,79
198950,73,75,82,84,32,54
199042,72,71,81,78,71,72
199451,85,78,74,84,39,61
199503,48,65,79,71,69,76
199715,77,76,78,81,41,76
199987,,,,,,
200610,77,81,78,79,41,83
200647,69,82,80,81,43,63
200726,,,,,,
201377,76,40,59,63,80,80
201454,77,64,77,78,78,76
201956,65,49,64,65,82,81
202477,90,70,75,87,30,56
203042,,,,,,
203486,81,74,79,85,39,65
203890,81,55,74,75,78,78
204024,52,47,71,73,78,76
204529,76,81,59,78,33,72
204884,81,51,76,78,77,78
204923,80,80,74,80,56,77
205362,69,32,62,54,82,74
205452,73,40,67,63,81,77
205923,75,58,76,76,79,75
207877,91,78,61,78,25,72
208135,67,74,73,76,79,83
210035,84,62,76,82,76,69
210243,87,63,77,81,77,70
210514,88,64,77,81,77,71
210864,81,51,68,76,79,76
212814,72,69,79,82,64,69
215316,,,,,,
216201,93,78,73,80,41,79
216267,84,59,72,77,77,73
216475,87,77,74,83,57,64
226271,68,77,76,80,74,68
226456,66,75,80,79,71,70
230271,82,72,77,83,26,51
231677,92,80,74,83,40,72
49031,,,,,,
49369,75,77,71,77,32,67
54050,65,81,81,75,55,76
108080,71,58,72,76,79,74
110677,,,,,,
121944,37,75,80,73,77,74
139068,77,76,78,86,35,62
140293,,,,,,
142754,65,53,71,68,80,77
146562,51,74,85,83,60,54
146748,,,,,,
146760,81,58,74,77,76,76
147782,66,65,73,75,78,75
148119,,,,,,
152908,75,68,79,78,74,70
153244,70,82,71,71,43,82
156713,48,58,59,55,82,78
158625,40,52,67,63,81,74
159147,63,58,69,67,81,77
159261,70,85,72,77,30,67
163264,,,,,,
163711,69,52,70,77,77,74
164835,,,,,,
165109,69,64,65,68,84,73
169595,76,62,73,77,79,76
170368,75,77,80,82,47,68
170815,64,71,79,78,76,73
171833,75,81,68,78,23,63
172114,61,82,79,78,40,66
173373,,,,,,
176104,72,73,80,82,56,71
176376,76,81,75,85,56,76
176915,70,70,77,79,71,74
177600,51,74,82,74,66,73
177604,69,58,71,74,80,70
177633,74,81,63,80,34,65
177644,,,,,,
177723,,,,,,
178424,78,69,76,76,76,73
180175,85,77,68,80,32,69
180216,76,65,73,77,80,73
181820,73,80,77,82,35,67
183285,52,33,63,55,78,84
183427,73,70,76,80,77,74
186537,65,79,69,76,48,78
186547,70,47,63,67,83,74
186569,,,,,,
187735,77,74,78,78,70,70
188005,59,60,70,69,81,79
188388,74,77,81,80,41,62
188829,69,44,65,71,80,72
188942,58,65,69,73,80,88
188943,,,,,,
189354,75,71,84,83,41,63
189461,70,68,80,81,63,69
189575,79,71,73,85,51,56
189682,63,38,61,65,80,79
190264,77,74,79,84,41,56
190456,78,61,70,77,79,71
190544,79,73,76,85,37,56
190778,,,,,,
192641,76,57,71,67,81,80
192678,68,80,62,76,38,75
192789,78,70,71,73,79,78
192991,74,80,66,77,36,74
193352,73,67,79,76,78,75
193738,74,76,78,84,57,71
193886,70,82,77,81,49,72
194229,71,40,70,74,76,77
194794,73,80,78,83,42,71
194879,63,77,70,76,43,79
194957,57,53,62,61,80,77
195861,72,68,76,72,81,78
197083,78,76,78,80,71,75
198784,85,73,78,84,66,76
199069,80,79,71,79,36,83
199110,88,75,68,84,27,72
199206,76,40,59,60,82,78
199434,69,69,81,83,39,63
199561,72,78,76,80,45,67
200315,92,73,75,81,38,58
200318,76,84,69,77,34,67
201042,79,63,76,76,76,80
201144,54,63,77,74,77,73
201862,69,60,69,66,79,78
202335,65,63,72,65,82,86
202695,59,43,67,66,80,77
202849,38,49,62,47,82,79
202857,91,75,72,85,34,68
203747,93,51,68,77,75,66
203841,,,,,,
204082,72,39,57,63,82,76
204399,72,79,73,82,39,70
205070,82,77,75,81,60,75
205114,82,71,74,87,47,57
205175,72,83,62,74,39,74
205525,90,69,75,84,38,45
205705,57,49,61,58,81,77
206413,67,61,72,69,78,81
206467,83,81,75,78,39,75
206652,,,,,,
207439,72,67,81,79,72,73
207862,64,58,68,65,82,76
207993,72,62,65,70,77,87
208128,71,75,83,84,59,60
208333,71,68,77,77,80,83
210406,83,70,79,83,69,59
210896,75,74,79,78,73,76
211575,65,69,77,77,73,81
211748,67,73,80,82,59,69
212151,,,,,,
212623,79,78,68,80,51,73
212692,79,76,77,82,30,56
214997,80,80,71,86,54,59
215785,92,76,72,83,29,70
216352,70,73,80,80,74,72
216409,84,75,74,83,29,50
219809,68,48,69,74,78,82
219985,71,68,77,81,76,76
220477,67,34,46,63,83,75
221540,51,54,59,58,80,84
221639,85,81,62,75,45,82
221992,93,75,72,82,41,64
222028,68,47,74,76,77,68
223061,91,67,74,86,50,57
224069,84,79,68,80,27,69
224254,91,76,75,80,47,73
224334,77,74,79,84,66,81
226226,74,74,79,81,64,70
226790,73,62,65,73,83,82
226851,71,46,71,70,81,75
227536,88,80,61,64,42,88
227928,92,57,67,80,73,72
228229,61,40,51,50,81,81
230142,73,75,78,82,38,58
230234,68,62,74,76,78,77
230347,79,54,76,78,75,74
230977,89,74,75,80,48,63
234035,81,53,71,73,79,68
234153,76,74,81,79,62,65
235243,68,58,66,65,80,82
239207,63,81,65,72,31,74
80,45,72,85,78,63,69
53050,69,76,66,71,32,73
121933,,,,,,
124375,80,81,65,69,34,77
137351,48,55,78,76,74,69
157301,82,79,70,80,36,76
158133,84,77,78,77,35,75
158232,66,79,73,85,43,60
159065,84,79,78,83,40,71
160741,79,56,61,52,79,77
163631,63,71,79,78,78,65
164029,61,80,59,81,35,69
164859,89,73,71,80,39,62
169115,56,37,57,58,81,72
169705,77,53,71,76,77,73
169706,55,64,76,75,79,81
170797,37,69,82,77,75,68
171688,75,63,73,79,74,73
172723,,,,,,
173426,,,,,,
174543,,,,,,
176731,58,72,67,68,79,87
176944,45,72,71,71,75,86
177358,58,60,72,74,77,77
178224,73,78,64,75,31,59
178311,84,78,73,82,29,64
178415,63,76,79,69,74,80
179645,61,55,64,53,78,76
182002,60,50,58,62,78,81
183497,,,,,,
183580,60,79,59,66,45,74
183892,75,61,66,63,79,80
183899,86,72,75,81,47,55
183909,85,71,77,85,44,51
184134,62,61,69,69,79,83
184826,60,74,79,78,71,65
184881,86,72,73,83,34,63
184949,83,64,75,77,71,77
185122,,,,,,
185431,70,76,64,74,42,73
186132,63,67,76,76,72,71
186148,,,,,,
186832,77,68,78,82,78,77
187052,71,60,75,74,74,78
187347,87,61,73,73,75,75
187457,73,71,78,77,75,76
188081,91,76,73,82,43,71
189271,71,58,68,76,78,81
189423,70,63,70,73,79,84
189433,55,31,51,59,82,74
189681,81,60,74,78,75,78
190149,85,62,72,76,72,79
190243,,,,,,
190286,60,73,80,78,40,53
190815,57,56,79,75,78,75
190875,69,73,74,76,78,88
191076,77,74,79,79,58,72
192064,78,76,76,78,41,66
192492,74,74,77,80,40,46
192565,74,72,77,81,33,59
192620,42,51,74,55,82,71
192679,75,63,73,71,78,73
193061,76,71,79,81,61,67
193171,80,59,71,73,77,72
193283,75,73,75,74,78,83
193584,68,80,66,73,38,84
193601,52,49,47,56,80,73
194022,66,59,74,75,80,80
194761,79,74,77,79,60,64
194958,63,71,79,75,70,75
195202,64,74,79,79,63,68
198031,59,76,79,76,67,68
198118,69,59,67,67,81,80
198715,75,80,58,78,43,70
199189,70,72,76,81,54,73
199304,75,70,73,74,77,77
199354,77,80,76,78,32,69
199416,75,78,78,81,59,66
199439,67,80,73,74,40,71
199602,65,80,68,75,43,76
199767,66,77,77,75,70,73
199823,63,72,79,77,73,71
200260,78,78,76,81,36,62
200454,70,78,62,75,37,63
200641,87,76,76,81,31,62
201119,82,66,72,78,75,76
201143,66,46,73,69,80,72
201505,55,66,66,66,78,81
201508,69,75,79,80,39,61
201510,77,70,76,77,75,75
202201,72,58,65,63,80,76
202325,60,39,75,76,74,77
202648,51,64,77,78,65,66
202935,73,30,55,59,79,79
203106,84,66,75,84,54,62
203362,82,72,76,80,39,67
203483,70,78,73,74,66,74
203605,81,43,73,74,73,79
203757,81,73,60,78,33,78
203775,,,,,,
204277,75,60,73,77,71,78
204525,73,56,63,61,78,78
204638,52,36,52,55,79,80
205192,77,72,80,83,59,59
205193,67,39,59,62,79,77
205407,72,73,79,80,66,69
205976,77,76,69,79,33,63
206304,57,64,74,67,77,83
207599,64,49,63,66,79,77
207939,57,63,72,70,77,83
207948,88,72,73,84,43,67
208334,76,60,75,74,78,76
208620,64,62,72,76,75,76
208920,74,52,69,70,79,74
209960,,,,,,
210455,77,45,67,73,78,74
211256,86,55,68,75,77,73
211267,90,70,70,84,37,65
211368,92,73,72,86,32,63
211688,87,61,76,78,72,68
212150,67,59,79,84,65,66
213160,76,64,75,80,78,71
213296,65,71,76,81,68,72
213516,76,75,75,81,42,58
213991,75,65,72,73,78,81
214584,,,,,,
214947,77,54,73,74,78,83
215057,43,58,72,69,76,83
215061,81,82,66,73,38,75
215353,72,77,59,76,29,76
215792,67,35,51,59,81,75
216150,77,66,72,75,76,74
216393,53,79,80,77,68,71
216497,81,80,71,83,43,65
216547,92,64,73,85,35,51
218339,71,68,76,82,63,67
219576,68,68,68,73,81,84
219932,78,75,70,81,34,65
220018,85,78,69,80,36,81
221660,72,48,71,69,78,76
223682,62,74,79,77,66,67
224293,64,70,80,74,70,74
225647,,,,,,
225663,82,72,76,84,67,68
225997,83,72,72,80,43,74
226161,54,48,73,70,76,71
227234,72,55,66,70,79,85
227290,,,,,,
227476,83,75,59,75,48,80
227796,91,69,71,85,36,58
229909,,,,,,
230201,79,51,70,78,77,67
230212,70,48,60,52,79,78
230251,71,70,70,72,80,83
230312,,,,,,
230498,84,79,65,80,27,66
231478,83,77,60,78,37,81
233419,87,75,72,81,43,73
235790,77,64,76,80,38,59
236632,88,72,70,85,35,63
244369,83,71,76,80,47,56
7826,50,80,76,80,35,55
20800,67,71,78,81,40,58
53914,46,46,58,54,79,71
111661,,,,,,
115909,77,78,64,80,30,63
134744,69,64,75,73,76,77
137677,,,,,,
139064,53,59,72,69,77,78
142707,80,77,71,78,46,72
142721,,,,,,
142902,,,,,,
143001,71,77,74,78,43,74
143587,70,74,79,77,65,71
143745,71,73,79,80,64,71
146439,63,79,64,71,36,78
146460,49,60,71,66,78,77
146536,86,67,74,81,61,52
146758,58,77,72,74,44,67
147621,80,74,78,76,50,72
150516,75,81,75,76,46,76
150724,,,,,,
152912,43,80,63,72,40,70
153260,36,51,66,65,79,71
158121,,,,,,
158626,73,66,72,74,77,74
158856,38,75,73,69,75,78
159171,69,76,79,79,32,56
159287,51,64,82,80,73,66
161754,62,63,67,69,76,80
162329,64,62,73,75,73,77
163806,,,,,,
164082,75,71,77,81,77,71
164376,48,75,61,63,34,85
165247,,,,,,
165501,34,60,70,63,79,65
165517,59,59,77,73,73,71
167431,68,69,79,78,69,67
167514,74,67,71,76,77,73
168312,81,52,72,77,76,72
169588,58,32,59,52,78,72
171791,40,35,52,60,77,69
172049,91,70,68,85,35,67
172175,79,73,76,81,43,65
172287,54,61,69,67,77,81
172316,74,65,70,74,78,72
172862,58,49,68,70,78,72
172962,78,70,74,81,73,71
173306,78,59,75,79,74,72
173474,72,73,79,81,67,74
173546,45,33,57,54,80,75
176550,,,,,,
176733,75,78,63,73,35,71
177983,66,32,46,56,82,77
178085,52,73,81,78,67,60
178322,76,72,75,75,76,70
178416,90,75,73,79,36,71
179527,75,77,65,75,37,69
179789,63,31,54,54,78,75
180432,61,68,82,75,66,68
180714,,,,,,
180826,78,78,66,77,33,66
182179,64,33,37,54,80,81
182495,76,51,64,65,79,73
183108,79,75,75,80,53,74
183483,58,77,65,69,20,78
183556,60,45,52,47,80,76
183855,62,39,58,60,79,74
184069,59,79,53,64,37,82
184089,85,73,71,84,34,56
184111,66,76,64,69,37,75
184252,69,78,68,74,47,82
184477,59,42,48,47,77,83
184575,89,77,74,81,48,65
185422,88,78,68,78,37,71
186302,75,73,76,80,47,60
186307,68,77,76,80,34,66
186581,76,73,80,81,53,65
187598,67,47,58,62,80,67
187607,65,75,66,68,27,84
187924,57,77,80,78,60,69
188086,75,68,77,75,74,78
188253,59,60,74,73,76,73
188427,74,72,77,78,75,77
188524,,,,,,
188840,77,50,72,73,75,79
189156,51,53,66,61,77,75
189165,63,73,80,73,63,75
189296,,,,,,
189574,53,63,74,68,78,72
189606,70,49,69,68,77,82
189805,53,76,69,67,43,74
190324,70,50,51,62,78,77
190717,83,73,70,79,53,79
190765,66,72,82,75,61,75
192123,71,77,59,71,40,79
192557,75,55,77,75,74,72
192598,81,77,74,76,47,75
193130,78,80,73,78,47,70
193152,,,,,,
193361,75,76,78,79,68,69
193476,80,71,76,82,40,55
194845,75,79,76,79,44,68
194911,,,,,,
194932,78,75,74,80,30,67
195586,68,81,62,74,32,73
196147,75,76,74,79,54,79
196432,76,71,74,76,76,81
196934,72,70,80,79,62,69
196978,87,75,64,75,38,73
197242,65,57,71,67,75,80
197948,48,57,61,65,78,80
198200,64,55,66,70,79,76
198513,,,,,,
198584,67,56,52,62,78,87
198648,62,72,79,76,69,68
199005,,,,,,
199576,52,39,65,63,77,82
199633,72,61,75,75,77,76
199827,68,70,74,77,64,77
199986,63,55,71,68,76,78
200155,51,73,80,75,61,72
200332,,,,,,
200458,76,61,75,75,74,72
200529,76,75,75,78,46,76
200536,87,51,72,77,72,72
200607,62,32,57,54,79,74
200752,77,33,53,60,78,82
201046,72,67,77,81,43,66
201262,68,73,78,80,65,63
201325,,,,,,
201519,69,70,77,77,71,72
201939,75,41,66,74,76,79
202562,87,65,72,76,73,78
202642,73,66,76,73,74,75
203280,76,78,74,77,38,68
203299,84,73,71,82,32,67
203487,62,28,51,57,78,80
203886,77,68,77,78,67,75
204120,,,,,,
204240,,,,,,
204259,85,53,69,75,74,77
204311,62,52,58,55,76,83
204385,66,80,62,72,27,84
204614,84,49,72,78,72,69
204838,73,76,69,73,46,77
205083,64,73,79,76,72,66
205340,66,26,51,53,80,73
205431,67,78,62,72,38,77
205633,76,67,78,80,62,67
205693,73,76,56,73,41,76
205850,64,75,49,68,37,75
205943,67,64,56,62,80,71
205988,83,52,71,78,76,72
206058,77,46,69,75,77,74
206411,63,72,74,75,72,78
206511,65,80,74,77,71,69
206591,84,62,75,84,72,69
208104,,,,,,
208268,60,70,76,76,69,68
208330,77,71,77,80,27,58
208450,76,74,78,79,62,67
208520,78,48,67,67,76,79
208777,68,68,78,82,64,51
209307,,,,,,
209889,75,74,82,84,71,59
210212,90,71,71,79,43,69
210324,78,67,76,78,41,57
210333,87,73,72,79,40,61
210411,75,67,76,84,45,60
210513,72,71,78,83,38,41
210665,71,64,70,70,76,78
210679,68,35,52,63,76,78
210935,79,77,74,82,38,70
211454,59,62,73,70,73,75
211706,67,62,73,76,70,73
212153,68,63,71,74,77,75
212187,82,50,77,75,71,72
212196,81,75,72,83,47,67
212213,74,65,75,80,70,69
212501,65,71,76,68,77,84
212811,77,67,76,80,71,72
212886,78,75,77,79,74,79
212977,76,53,66,67,79,75
213400,88,63,74,78,62,71
213432,71,78,59,75,31,68
213732,,,,,,
214026,90,65,74,77,71,71
214394,73,38,65,69,79,82
214766,51,49,50,47,79,80
215259,90,73,74,79,46,61
215333,72,78,52,72,37,78
215466,65,28,47,54,80,79
215871,83,76,70,81,42,71
216065,,,,,,
216189,84,63,69,75,71,84
216266,77,46,66,69,78,77
216388,91,71,68,84,23,60
216435,66,60,75,79,67,63
216466,86,49,73,78,72,72
216531,70,77,59,73,41,77
216655,75,37,50,60,79,76
216700,81,72,74,83,48,73
216816,78,76,59,76,39,73
217699,56,76,66,69,46,80
219391,72,62,70,71,76,79
219693,69,44,58,66,78,78
220523,54,54,56,57,78,83
220746,85,69,78,82,58,53
221219,71,38,55,48,80,79
221342,83,52,71,80,76,67
222509,64,61,76,80,68,64
222709,73,65,72,76,67,77
222994,76,50,63,73,77,84
223197,74,80,62,75,36,69
223627,72,79,68,72,39,82
223874,61,73,75,80,73,59
223952,,,,,,
223959,77,62,77,80,73,73
224031,84,71,71,78,71,77
224458,81,74,69,82,51,74
225161,71,41,56,62,79,70
225309,72,67,76,83,54,65
225711,73,37,68,72,78,77
226377,88,74,71,85,32,58
226379,,,,,,
226753,,,,,,
226766,93,64,70,84,33,49
228251,75,66,76,76,72,71
229237,80,42,65,70,78,77
229406,74,76,78,77,42,69
230184,87,58,70,77,74,53
230269,80,73,76,77,27,59
230360,80,71,71,76,74,74
230431,72,62,74,69,76,81
230938,73,71,71,77,78,88
230988,70,69,75,79,60,66
231281,80,60,75,72,73,69
232097,83,64,74,85,44,46
232244,73,47,65,66,77,76
234906,79,67,78,80,63,67
235569,80,66,75,83,70,77
237239,69,78,79,80,64,55
239818,64,34,47,56,77,81
242348,65,82,56,77,32,57
50542,68,83,60,76,26,57
110376,59,79,74,79,32,67
115533,,,,,,
124635,67,66,63,68,77,79
134779,74,76,74,73,47,75
134820,67,56,70,72,73,82
135451,,,,,,
135697,69,76,75,79,37,62
137809,74,77,61,76,38,75
138699,64,76,76,76,72,73
139668,,,,,,
139860,69,44,64,63,76,79
140233,,,,,,
140620,48,48,63,61,78,70
142966,68,74,78,78,46,63
146701,35,61,62,59,74,82
148711,29,50,55,51,80,73
148803,54,78,63,65,35,70
152747,81,64,72,82,49,58
152916,68,71,79,77,47,78
152996,64,48,72,77,72,74
152997,65,76,70,73,37,72
