ID,player_positions,age,dob,height_cm,weight_kg,league_id,league_name,club_team_id,club_position,nation_position,nation_jersey_number,player_tags,player_traits,gk,player_face_url
164240,CB,33,9/22/1984,183,82,16,Ligue 1,73,LCB,,,"#Tackling, #Tactician ","Leadership, Power Header",18,https://cdn.sofifa.net/players/164/240/19_120.png
167664,ST,30,12/10/1987,186,89,31,Serie A,47,ST,SUB,9,#Clinical Finisher,"Outside Foot Shot, Through Ball",17,https://cdn.sofifa.net/players/167/664/19_120.png
167948,GK,31,12/26/1986,188,82,13,Premier League,18,GK,GK,1,,"Avoids Using Weaker Foot, Rushes Out Of Goal, Comes For Crosses",86,https://cdn.sofifa.net/players/167/948/19_120.png
173731,"RW, ST",28,7/16/1989,185,81,53,La Liga,243,RW,RS,11,"#Speedster, #Distance Shooter, #Crosser, #FK Specialist, #Clinical Finisher","Long Throw-in, Injury Prone, Avoids Using Weaker Foot, Long Shot Taker (AI), Speed Dribbler (AI), Chip Shot (AI)",19,https://cdn.sofifa.net/players/173/731/19_120.png
176676,LB,30,5/12/1988,174,80,53,La Liga,243,LB,,,"#Dribbler, #Crosser, #Acrobat",Flair,16,https://cdn.sofifa.net/players/176/676/19_120.png
189242,"LW, RW, CM",26,6/12/1992,172,68,53,La Liga,241,LW,,,"#Dribbler, #Playmaker, #Distance Shooter, #FK Specialist, #Acrobat, #Complete Midfielder","Flair, Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI), Takes Finesse Free Kicks",18,https://cdn.sofifa.net/players/189/242/19_120.png
189511,"CDM, CM",29,7/16/1988,189,76,53,La Liga,241,CDM,LCM,5,"#Playmaker, #Tactician ",,17,https://cdn.sofifa.net/players/189/511/19_120.png
190460,"CAM, RM, CM",26,2/14/1992,181,76,13,Premier League,18,RM,CAM,10,"#Playmaker, #Crosser, #FK Specialist, #Complete Midfielder","Flair, Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI), Takes Finesse Free Kicks",18,https://cdn.sofifa.net/players/190/460/19_120.png
195864,"CM, CDM",25,3/15/1993,191,84,13,Premier League,11,LCM,RDM,6,"#Dribbler, #Playmaker, #Strength","Flair, Long Passer (AI), Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",13,https://cdn.sofifa.net/players/195/864/19_120.png
198219,LW,27,6/4/1991,163,59,31,Serie A,48,LW,LW,10,"#Speedster, #Dribbler, #Crosser, #Acrobat","Finesse Shot, Long Shot Taker (AI), Speed Dribbler (AI), Takes Finesse Free Kicks",16,https://cdn.sofifa.net/players/198/219/19_120.png
198710,"CAM, CM, RM",26,7/12/1991,181,78,19,Bundesliga,21,LCM,LM,10,"#Playmaker, #Distance Shooter, #Crosser, #FK Specialist, #Complete Midfielder","Avoids Using Weaker Foot, Flair, Playmaker (AI), Technical Dribbler (AI), Set Play Specialist",20,https://cdn.sofifa.net/players/198/710/19_120.png
200145,CDM,26,2/23/1992,185,84,53,La Liga,243,CDM,,,"#Tackling, #Tactician, #Strength, #Complete Defender","Power Free-Kick, Long Passer (AI), Long Shot Taker (AI)",21,https://cdn.sofifa.net/players/200/145/19_120.png
209331,RW,26,6/15/1992,175,71,13,Premier League,9,RW,RM,10,"#Speedster, #Dribbler, #Acrobat, #Clinical Finisher, #Complete Forward","Beat Offside Trap, Finesse Shot, Speed Dribbler (AI), Chip Shot (AI), Backs Into Player",22,https://cdn.sofifa.net/players/209/331/19_120.png
41,"CM, LM",34,5/11/1984,171,68,349,J-League,101146,LCM,,,"#Dribbler, #Playmaker ","Finesse Shot, Playmaker (AI), Team Player, Technical Dribbler (AI)",18,https://cdn.sofifa.net/players/000/041/19_120.png
152729,CB,31,2/2/1987,194,85,53,La Liga,241,RCB,,,"#Aerial Threat, #Tactician ",Long Passer (AI),19,https://cdn.sofifa.net/players/152/729/19_120.png
168651,CM,30,3/10/1988,184,78,53,La Liga,241,LCM,,,"#Playmaker, #Distance Shooter","Long Shot Taker (AI), Set Play Specialist",17,https://cdn.sofifa.net/players/168/651/19_120.png
171877,CM,30,7/27/1987,183,79,31,Serie A,48,CM,,,#Playmaker ,"Long Shot Taker (AI), Playmaker (AI), Team Player",19,https://cdn.sofifa.net/players/171/877/19_120.png
172871,CB,31,4/24/1987,189,86,13,Premier League,18,LCB,LCB,5,"#Tackling, #Tactician ",Power Free-Kick,17,https://cdn.sofifa.net/players/172/871/19_120.png
175943,"CF, ST",31,5/6/1987,169,61,31,Serie A,48,ST,RF,14,"#Dribbler, #Acrobat, #Clinical Finisher","Diver, Finesse Shot, Flair, Long Shot Taker (AI), Technical Dribbler (AI), Takes Finesse Free Kicks, Through Ball",17,https://cdn.sofifa.net/players/175/943/19_120.png
184941,"LW, LM, ST, CAM",29,12/19/1988,169,74,13,Premier League,11,LW,LW,7,"#Dribbler, #Acrobat","Avoids Using Weaker Foot, Flair, Long Shot Taker (AI), Technical Dribbler (AI), Through Ball",20,https://cdn.sofifa.net/players/184/941/19_120.png
188567,ST,29,6/18/1989,187,80,13,Premier League,1,ST,,,"#Poacher, #Speedster","Injury Free, Beat Offside Trap, Finesse Shot, Speed Dribbler (AI), Chip Shot (AI)",17,https://cdn.sofifa.net/players/188/567/19_120.png
189332,LB,29,3/21/1989,170,68,53,La Liga,241,LB,LB,18,"#Speedster, #Crosser, #Acrobat",Beat Offside Trap,20,https://cdn.sofifa.net/players/189/332/19_120.png
192387,ST,28,2/20/1990,185,85,31,Serie A,46,ST,SUB,17,#Clinical Finisher,Beat Offside Trap,17,https://cdn.sofifa.net/players/192/387/19_120.png
192505,ST,25,5/13/1993,190,94,13,Premier League,11,ST,ST,9,"#Poacher, #Strength","Beat Offside Trap, Leadership, Speed Dribbler (AI), Power Header, Target Forward",19,https://cdn.sofifa.net/players/192/505/19_120.png
193041,GK,31,12/15/1986,185,80,53,La Liga,243,GK,,,,"GK Up for Corners, GK Long Throw, Cautious With Crosses",85,https://cdn.sofifa.net/players/193/041/19_120.png
201024,CB,27,6/20/1991,187,89,31,Serie A,48,LCB,,,"#Tackling, #Tactician, #Strength, #Complete Defender",Power Header,17,https://cdn.sofifa.net/players/201/024/19_120.png
201399,ST,25,2/19/1993,181,75,31,Serie A,44,ST,,,"#Poacher, #Aerial Threat","Injury Free, Power Header",18,https://cdn.sofifa.net/players/201/399/19_120.png
205600,CB,24,11/14/1993,182,75,53,La Liga,241,LCB,LCB,5,"#Tackling, #Tactician ","Diver, Outside Foot Shot",21,https://cdn.sofifa.net/players/205/600/19_120.png
231747,"RW, ST",19,12/20/1998,178,73,16,Ligue 1,73,RW,RM,10,"#Speedster, #Dribbler, #Acrobat","Finesse Shot, Flair, Speed Dribbler (AI), Technical Dribbler (AI)",17,https://cdn.sofifa.net/players/231/747/19_120.png
135507,CDM,33,5/4/1985,179,67,13,Premier League,10,CDM,,,#Tactician ,,19,https://cdn.sofifa.net/players/135/507/19_120.png
171919,CB,35,9/10/1982,198,91,19,Bundesliga,34,CB,,,"#Aerial Threat, #Distance Shooter, #Tackling ","Power Free-Kick, Leadership, Power Header",20,https://cdn.sofifa.net/players/171/919/19_120.png
176635,"CAM, RM, RW",29,10/15/1988,180,76,13,Premier League,1,RM,,,#Playmaker ,"Finesse Shot, Flair, Playmaker (AI), Technical Dribbler (AI)",18,https://cdn.sofifa.net/players/176/635/19_120.png
177509,CB,31,4/17/1987,189,94,31,Serie A,45,SUB,,,"#Tackling, #Tactician, #Strength, #Complete Defender","Injury Prone, Power Header",16,https://cdn.sofifa.net/players/177/509/19_120.png
180206,"CM, CDM",28,4/2/1990,178,72,31,Serie A,45,LDM,,,"#Dribbler, #Playmaker, #FK Specialist, #Complete Midfielder","Finesse Shot, Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI), Takes Finesse Free Kicks",16,https://cdn.sofifa.net/players/180/206/19_120.png
181458,LM,29,2/2/1989,186,80,31,Serie A,44,LM,,,,"Flair, Speed Dribbler (AI)",15,https://cdn.sofifa.net/players/181/458/19_120.png
183907,CB,29,9/3/1988,192,90,19,Bundesliga,21,RCB,RCB,17,"#Tackling, #Strength","Long Throw-in, Long Passer (AI)",16,https://cdn.sofifa.net/players/183/907/19_120.png
184344,CB,31,5/1/1987,190,85,31,Serie A,45,RCB,LCB,19,#Tactician ,"Power Free-Kick, Injury Free, Long Passer (AI), Power Header",11,https://cdn.sofifa.net/players/184/344/19_120.png
184432,CB,28,8/28/1989,178,78,13,Premier League,5,RB,RCB,14,"#Tackling, #Tactician ","Long Throw-in, Injury Free, Early Crosser, Long Passer (AI), Team Player",17,https://cdn.sofifa.net/players/184/432/19_120.png
189509,"CM, CAM, CDM",27,4/11/1991,174,70,19,Bundesliga,21,RCM,CAM,10,"#Dribbler, #Playmaker, #Acrobat","Injury Prone, Flair, Technical Dribbler (AI), Takes Finesse Free Kicks",18,https://cdn.sofifa.net/players/189/509/19_120.png
189513,"CM, CAM, CDM",29,4/16/1989,182,74,53,La Liga,461,RCM,SUB,21,"#Playmaker, #FK Specialist","Playmaker (AI), Set Play Specialist, Takes Finesse Free Kicks",17,https://cdn.sofifa.net/players/189/513/19_120.png
189596,"CF, RW, CAM, ST",28,9/13/1989,186,75,19,Bundesliga,21,SUB,RM,13,"#Engine, #Clinical Finisher",Injury Free,19,https://cdn.sofifa.net/players/189/596/19_120.png
190483,"LM, RW, LW",27,9/14/1990,172,70,31,Serie A,45,LM,,,"#Speedster, #Dribbler, #Acrobat","Avoids Using Weaker Foot, Flair, Long Shot Taker (AI), Speed Dribbler (AI)",19,https://cdn.sofifa.net/players/190/483/19_120.png
191043,"LB, LM",27,1/26/1991,180,80,31,Serie A,45,LB,,,#Engine,Speed Dribbler (AI),16,https://cdn.sofifa.net/players/191/043/19_120.png
191202,"CDM, CM",29,8/1/1988,194,85,13,Premier League,11,CDM,,,#Tactician ,Injury Free,19,https://cdn.sofifa.net/players/191/202/19_120.png
192366,CB,30,2/12/1988,183,81,13,Premier League,10,LCB,RCB,17,#Tackling ,"Injury Free, Dives Into Tackles (AI), Power Header",17,https://cdn.sofifa.net/players/192/366/19_120.png
199556,"CM, CDM",25,11/5/1992,165,60,16,Ligue 1,73,RCM,SUB,23,"#Dribbler, #Playmaker, #Acrobat",Playmaker (AI),20,https://cdn.sofifa.net/players/199/556/19_120.png
201535,CB,25,4/25/1993,191,81,53,La Liga,243,RCB,RCB,4,#Tackling ,,18,https://cdn.sofifa.net/players/201/535/19_120.png
201942,"CF, ST",26,10/2/1991,181,76,13,Premier League,9,ST,,,"#Dribbler, #Engine","Flair, Playmaker (AI), Chip Shot (AI), Technical Dribbler (AI)",17,https://cdn.sofifa.net/players/201/942/19_120.png
208722,"LW, RW",26,4/10/1992,175,69,13,Premier League,9,LW,,,"#Speedster, #Dribbler, #Acrobat","Beat Offside Trap, Flair, Speed Dribbler (AI)",19,https://cdn.sofifa.net/players/208/722/19_120.png
210257,GK,24,8/17/1993,188,86,13,Premier League,10,GK,,,,"Long Passer (AI), Rushes Out Of Goal, Comes For Crosses",84,https://cdn.sofifa.net/players/210/257/19_120.png
222492,"LW, RW",22,1/11/1996,183,75,13,Premier League,10,LW,SUB,10,"#Speedster, #Dribbler, #Acrobat","Avoids Using Weaker Foot, Beat Offside Trap, Flair, Speed Dribbler (AI)",18,https://cdn.sofifa.net/players/222/492/19_120.png
9014,"RM, RW",34,1/23/1984,180,80,19,Bundesliga,21,RM,,,"#Dribbler, #Acrobat","Diver, Injury Prone, Avoids Using Weaker Foot, Selfish, Finesse Shot, Long Shot Taker (AI), Chip Shot (AI), Through Ball",18,https://cdn.sofifa.net/players/009/014/19_120.png
41236,ST,36,10/3/1981,195,95,39,Major League Soccer,697,RS,,,"#Poacher, #Aerial Threat, #Strength, #Clinical Finisher, #Complete Forward","Flair, Long Shot Taker (AI), Power Header, Technical Dribbler (AI), Backs Into Player, Target Forward",20,https://cdn.sofifa.net/players/041/236/19_120.png
120533,CB,35,2/26/1983,188,81,68,Super Lig,327,RCB,RCB,3,,Dives Into Tackles (AI),18,https://cdn.sofifa.net/players/120/533/19_120.png
139720,CB,32,4/10/1986,190,85,13,Premier League,10,RCB,CB,4,#Strength,"Injury Prone, Dives Into Tackles (AI), Leadership, Team Player",17,https://cdn.sofifa.net/players/139/720/19_120.png
156616,"LM, LW",35,4/7/1983,170,72,19,Bundesliga,21,LM,,,"#Dribbler, #Acrobat","Injury Prone, Flair, Technical Dribbler (AI), Backs Into Player, Through Ball",18,https://cdn.sofifa.net/players/156/616/19_120.png
164169,LB,32,8/9/1985,182,74,53,La Liga,240,LB,,,,,18,https://cdn.sofifa.net/players/164/169/19_120.png
167397,ST,32,2/10/1986,177,72,16,Ligue 1,69,ST,ST,9,"#Aerial Threat, #Clinical Finisher","Finesse Shot, Power Header, Target Forward",18,https://cdn.sofifa.net/players/167/397/19_120.png
168609,CB,33,9/7/1984,186,78,31,Serie A,44,LCB,,,#Tackling ,Leadership,18,https://cdn.sofifa.net/players/168/609/19_120.png
170890,"CDM, CM",31,4/9/1987,180,75,31,Serie A,45,SUB,LM,14,"#Engine, #Tactician ","Injury Free, Finesse Shot",19,https://cdn.sofifa.net/players/170/890/19_120.png
178518,"CM, CAM",30,5/4/1988,176,77,31,Serie A,44,CAM,,,"#Engine, #Tackling, #Tactician ",Long Shot Taker (AI),19,https://cdn.sofifa.net/players/178/518/19_120.png
179844,ST,29,10/7/1988,188,86,53,La Liga,240,RS,ST,19,#Strength,"Diver, Through Ball",19,https://cdn.sofifa.net/players/179/844/19_120.png
179846,"CM, CDM",31,4/4/1987,189,90,31,Serie A,45,RDM,RDM,6,"#Tactician, #Strength","Injury Prone, Leadership",19,https://cdn.sofifa.net/players/179/846/19_120.png
180930,ST,32,3/17/1986,193,84,31,Serie A,52,ST,,,#Poacher,"Leadership, Target Forward",20,https://cdn.sofifa.net/players/180/930/19_120.png
181872,"CDM, CM",31,5/22/1987,180,75,53,La Liga,241,RCM,LCM,8,#Tackling ,"Dives Into Tackles (AI), Long Shot Taker (AI), Power Header, Through Ball",12,https://cdn.sofifa.net/players/181/872/19_120.png
184087,CB,29,3/2/1989,186,81,13,Premier League,18,SUB,RCB,2,#Tackling ,Long Passer (AI),21,https://cdn.sofifa.net/players/184/087/19_120.png
184267,LM,28,2/8/1990,175,66,308,Liga Portugal,236,LM,,,"#Dribbler, #Acrobat","Injury Free, Selfish, Finesse Shot, Flair, Technical Dribbler (AI), Takes Finesse Free Kicks",19,https://cdn.sofifa.net/players/184/267/19_120.png
187961,"CM, CAM, CDM, RM",29,7/25/1988,181,81,2012,Super League,111839,LDM,,,#Engine,"Power Free-Kick, Dives Into Tackles (AI)",19,https://cdn.sofifa.net/players/187/961/19_120.png
188350,"LM, CAM, ST, LW",29,5/31/1989,180,71,19,Bundesliga,22,LM,CAM,11,"#Dribbler, #Distance Shooter, #Acrobat, #Clinical Finisher","Injury Prone, Finesse Shot, Speed Dribbler (AI), Backs Into Player, Takes Finesse Free Kicks",20,https://cdn.sofifa.net/players/188/350/19_120.png
192629,"RW, ST",30,8/1/1987,175,67,53,La Liga,450,RW,SUB,17,"#Acrobat, #Clinical Finisher","Beat Offside Trap, Finesse Shot, Team Player, Chip Shot (AI)",21,https://cdn.sofifa.net/players/192/629/19_120.png
192774,CB,27,6/14/1991,189,83,31,Serie A,52,RCB,LCB,4,"#Tackling, #Tactician ",Dives Into Tackles (AI),18,https://cdn.sofifa.net/players/192/774/19_120.png
193747,"LM, CM, RM",26,1/8/1992,176,74,53,La Liga,240,RM,RCM,8,"#Playmaker, #Crosser","Long Passer (AI), Playmaker (AI), Team Player",20,https://cdn.sofifa.net/players/193/747/19_120.png
197445,"LB, CB, CM",26,6/24/1992,180,76,19,Bundesliga,21,LB,CAM,8,,Long Shot Taker (AI),18,https://cdn.sofifa.net/players/197/445/19_120.png
202652,"RW, LW, CF",23,12/8/1994,170,69,13,Premier League,10,RW,RS,10,"#Speedster, #Dribbler, #Acrobat","Flair, Speed Dribbler (AI)",20,https://cdn.sofifa.net/players/202/652/19_120.png
203376,CB,26,7/8/1991,193,92,13,Premier League,9,LCB,LCB,4,#Strength,"Injury Free, Leadership, Long Passer (AI), Power Header",19,https://cdn.sofifa.net/players/203/376/19_120.png
204485,"RW, RM",27,2/21/1991,179,67,13,Premier League,10,SUB,,,"#Dribbler, #Acrobat","Diver, Selfish, Finesse Shot, Flair, Long Shot Taker (AI), Playmaker (AI), Technical Dribbler (AI)",18,https://cdn.sofifa.net/players/204/485/19_120.png
208421,"CM, LM, RM",23,11/21/1994,184,77,53,La Liga,240,RCM,SUB,7,,"Finesse Shot, Long Shot Taker (AI)",18,https://cdn.sofifa.net/players/208/421/19_120.png
209499,CDM,24,10/23/1993,188,78,13,Premier League,9,CDM,,,#Tackling ,Injury Free,18,https://cdn.sofifa.net/players/209/499/19_120.png
212622,"RB, CM, CB, CDM",23,2/8/1995,176,70,19,Bundesliga,21,RB,RB,18,#Crosser,,21,https://cdn.sofifa.net/players/212/622/19_120.png
212831,GK,25,10/2/1992,191,91,13,Premier League,9,GK,,,,"Puncher, GK Long Throw, Rushes Out Of Goal",84,https://cdn.sofifa.net/players/212/831/19_120.png
216594,"CAM, ST",24,7/18/1993,173,75,16,Ligue 1,66,CAM,SUB,18,"#Dribbler, #Acrobat","Flair, Chip Shot (AI), Technical Dribbler (AI), Backs Into Player",20,https://cdn.sofifa.net/players/216/594/19_120.png
220834,"LW, CAM, RW",22,1/21/1996,182,76,53,La Liga,243,SUB,RW,20,"#Dribbler, #Distance Shooter","Long Shot Taker (AI), Takes Finesse Free Kicks",18,https://cdn.sofifa.net/players/220/834/19_120.png
223848,"CM, CAM",23,2/27/1995,191,76,31,Serie A,46,CM,,,,"Flair, Power Header, Technical Dribbler (AI)",18,https://cdn.sofifa.net/players/223/848/19_120.png
232363,CB,23,2/11/1995,187,80,31,Serie A,44,RCB,,,#Tactician ,Power Header,19,https://cdn.sofifa.net/players/232/363/19_120.png
20775,"RM, LM",34,9/26/1983,175,67,68,Super Lig,327,RM,SUB,20,"#Dribbler, #Crosser, #Acrobat","Diver, Selfish, Flair, Long Shot Taker (AI), Outside Foot Shot, Technical Dribbler (AI), Set Play Specialist",19,https://cdn.sofifa.net/players/020/775/19_120.png
137186,CB,37,5/8/1981,187,87,31,Serie A,45,SUB,,,#Tactician ,"Leadership, Team Player",12,https://cdn.sofifa.net/players/137/186/19_120.png
143076,"CF, LW, ST",30,2/15/1988,165,68,31,Serie A,39,LF,,,"#Speedster, #Dribbler, #Acrobat","Long Shot Taker (AI), Technical Dribbler (AI), Set Play Specialist, Takes Finesse Free Kicks",17,https://cdn.sofifa.net/players/143/076/19_120.png
157481,CB,32,9/4/1985,190,82,31,Serie A,48,RCB,,,"#Tackling, #Tactician ",,16,https://cdn.sofifa.net/players/157/481/19_120.png
162240,"CM, CDM",30,7/16/1987,185,82,13,Premier League,18,LDM,SUB,19,"#Dribbler, #Strength","Avoids Using Weaker Foot, Technical Dribbler (AI)",22,https://cdn.sofifa.net/players/162/240/19_120.png
162895,"CM, CDM",31,5/4/1987,180,77,13,Premier League,5,LCM,,,#Playmaker ,"Long Passer (AI), Playmaker (AI), Set Play Specialist",19,https://cdn.sofifa.net/players/162/895/19_120.png
163587,GK,31,11/5/1986,189,89,13,Premier League,95,GK,GK,1,,GK Up for Corners,82,https://cdn.sofifa.net/players/163/587/19_120.png
165153,ST,30,12/19/1987,185,81,53,La Liga,243,ST,,,,Beat Offside Trap,17,https://cdn.sofifa.net/players/165/153/19_120.png
167628,GK,31,9/27/1986,188,93,16,Ligue 1,1819,GK,,,,Saves with Feet,82,https://cdn.sofifa.net/players/167/628/19_120.png
172879,CB,30,6/9/1988,186,85,13,Premier League,1,LCB,RCB,19,"#Tackling, #Strength","Long Throw-in, Injury Free, Dives Into Tackles (AI)",16,https://cdn.sofifa.net/players/172/879/19_120.png
176769,ST,34,4/1/1984,181,74,308,Liga Portugal,234,SUB,,,#Clinical Finisher,"Diver, Injury Prone, Leadership, Finesse Shot, Technical Dribbler (AI)",17,https://cdn.sofifa.net/players/176/769/19_120.png
177388,"CAM, LM",31,3/29/1987,175,77,16,Ligue 1,219,CAM,,,"#Dribbler, #Crosser","Flair, Long Shot Taker (AI), Playmaker (AI), Outside Foot Shot, Technical Dribbler (AI)",20,https://cdn.sofifa.net/players/177/388/19_120.png
177610,"CDM, CB",29,9/2/1988,190,81,19,Bundesliga,21,CDM,,,"#Tackling, #Tactician ","Injury Prone, Dives Into Tackles (AI)",17,https://cdn.sofifa.net/players/177/610/19_120.png
178750,GK,29,6/28/1989,189,87,53,La Liga,483,GK,,,,"Injury Prone, Comes For Crosses",83,https://cdn.sofifa.net/players/178/750/19_120.png
